"","[0,6)","[6,12)","[12,18)","[18,24)","[24,30)","[30,36)","[36,42)","[42,48)","[48,54)","[54,60)","[60,Inf)"
"[0,6)",1.0327195825787,0.776914474234254,0.335264027987607,0.33817653961025,0.705968412873352,1.06500188175885,0.740973873884071,0.36339029984728,0.288812724683593,0.340410666090398,0.312251388402054
"[6,12)",0.75172619363311,1.37805389988579,0.714731388488317,0.240865372083841,0.290798054146357,0.747557095060603,1.06517746103358,0.630303479807472,0.292321288746902,0.23440774201921,0.262323209019798
"[12,18)",0.302236663309454,0.665911587313348,1.14261131945582,0.523378157086559,0.187840724657393,0.2650543599434,0.638750559886782,0.797143407726533,0.451575884082782,0.2087722251001,0.153469402048442
"[18,24)",0.327240316342014,0.240885814419052,0.561796118156996,1.05381702948164,0.490637931361544,0.207035011424129,0.275257915961218,0.578656670980336,0.69463569674803,0.386939768160042,0.152113560812916
"[24,30)",0.723653444900544,0.308070695771792,0.213587056920439,0.519736427267503,0.89024591512678,0.474801190433675,0.197152037496986,0.229426425368371,0.471146964764936,0.559178026277802,0.271708594456112
"[30,36)",0.986444157159327,0.715615974474621,0.272330883221548,0.198172138701262,0.429030892460793,0.764597639576287,0.401736596881628,0.149851675827503,0.175802792613161,0.366634355299527,0.402275271896344
"[36,42)",0.588999757032037,0.875079918685116,0.56322681933331,0.226114654419119,0.152886143525756,0.344771602077654,0.610531422330162,0.303700001578713,0.116958160689236,0.143572944679083,0.290022278493734
"[42,48)",0.234930290634328,0.421142353427675,0.57166546537766,0.386601310579156,0.144698410411987,0.104593611788566,0.247000742963044,0.45790471483704,0.242930651775405,0.0974334531621439,0.112013257894026
"[48,54)",0.158820947144623,0.166136643423555,0.275462199730502,0.394752807662509,0.252756592322009,0.104374665776188,0.080911409641761,0.206636999810705,0.428214628887289,0.232495042112474,0.0777849640767578
"[54,60)",0.150056701970773,0.106791753695775,0.102085666867966,0.176267512951484,0.240467822358025,0.174487076400684,0.0796182495724797,0.0664346493012776,0.186369343712007,0.388767834593952,0.176783092737703
"[60,Inf)",0.117875483551256,0.102345642073336,0.0642659190588974,0.0593422097271678,0.100063829846275,0.163953358209324,0.137733076764465,0.0654067925297782,0.053397792916306,0.15139362883632,0.324947345887383
